mondo id	mondo label	phenotypes to high-level hpo	histopheno	of body system or component	of developmental or physiological process	of etiologic mechanism	of genetic or genomic mechanism	of primarily extrinsic mechanism	of molecular mechanism
MONDO:0030973	immunodeficiency 77	Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of the ear; Abnormality of the cardiovascular system; Abnormality of the immune system	digestive_system; immune_system; respiratory; musculature; nervous_system; head_neck; integument; ear; connective_tissue	immune system disorder			hereditary disease		
MONDO:0030971	immunodeficiency 78 with autoimmunity and developmental delay	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; head_neck; metabolism_homeostasis; digestive_system; nervous_system; respiratory; skeletal_system; integument; neoplasm; musculature; ear	immune system disorder			hereditary disease		
MONDO:0030981	immunodeficiency 79	Abnormality of limbs; Abnormality of the integument; Abnormality of the respiratory system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of the ear; Abnormality of head or neck; Abnormality of the immune system	integument; immune_system; head_neck; digestive_system; neoplasm; blood; respiratory; ear	immune system disorder			hereditary disease		
MONDO:0014168	severe combined immunodeficiency due to CORO1A deficiency	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the immune system	immune_system; digestive_system; blood; nervous_system; head_neck; metabolism_homeostasis; respiratory; integument; musculature; ear	immune system disorder			hereditary disease		
MONDO:0030266	immunodeficiency 80 with or without congenital cardiomyopathy	Abnormality of the digestive system; Abnormal cellular phenotype; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	blood; immune_system; metabolism_homeostasis; digestive_system; endocrine; prenatal_or_birth	immune system disorder			hereditary disease		
MONDO:0030302	immunodeficiency 81	Abnormality of the integument; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; integument; metabolism_homeostasis	immune system disorder			hereditary disease		
MONDO:0030308	immunodeficiency 82 with systemic inflammation	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; digestive_system; blood; metabolism_homeostasis; integument; skeletal_system; head_neck; musculature; respiratory; nervous_system; neoplasm; ear; genitourinary_system; endocrine; growth	immune system disorder			hereditary disease		
MONDO:0030448	immunodeficiency 86	Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Abnormality of the immune system; Abnormality of blood and blood-forming tissues	immune_system; blood; metabolism_homeostasis	immune system disorder			hereditary disease		
MONDO:0030457	immunodeficiency 87 and autoimmunity	Abnormality of the breast; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Neoplasm; Abnormal cellular phenotype; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	digestive_system; immune_system; metabolism_homeostasis; blood; endocrine; growth; head_neck; respiratory; prenatal_or_birth; integument; eye; neoplasm; musculature; breast	immune system disorder			hereditary disease		
MONDO:0013007	combined immunodeficiency due to ORAI1 deficiency	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	immune_system; blood; musculature; metabolism_homeostasis; digestive_system; head_neck; nervous_system; skeletal_system; integument; endocrine; respiratory; connective_tissue; growth	immune system disorder			hereditary disease		
