mondo id	mondo label	phenotypes to high-level hpo	histopheno	of body system or component	of developmental or physiological process	of etiologic mechanism	of genetic or genomic mechanism	of primarily extrinsic mechanism	of molecular mechanism
MONDO:0013966	catecholaminergic polymorphic ventricular tachycardia 4	Constitutional symptom; Abnormality of the cardiovascular system; Abnormality of the ear	head_neck; ear	cardiovascular disorder			hereditary disease		
MONDO:0013261	dilated cardiomyopathy 1R	Abnormal cellular phenotype; Abnormality of the cardiovascular system	musculature	musculoskeletal system disorder; syndromic disease; cardiovascular disorder	disorder of development or morphogenesis		hereditary disease		
MONDO:0012808	dilated cardiomyopathy 1AA	Abnormal cellular phenotype; Abnormality of the cardiovascular system	musculature	musculoskeletal system disorder; cardiovascular disorder			hereditary disease		
MONDO:0014883	hypertrophic cardiomyopathy 26	Abnormality of the cardiovascular system; Abnormality of the nervous system; Constitutional symptom	nervous_system	musculoskeletal system disorder; cardiovascular disorder			hereditary disease		
MONDO:0011094	dilated cardiomyopathy 1C	Abnormality of the cardiovascular system; Constitutional symptom	musculature	musculoskeletal system disorder; syndromic disease; cardiovascular disorder	disorder of development or morphogenesis		hereditary disease		
MONDO:0014163	left ventricular noncompaction 10	Abnormality of the cardiovascular system; Abnormality of the respiratory system	digestive_system; musculature; respiratory	musculoskeletal system disorder; syndromic disease; cardiovascular disorder	disorder of development or morphogenesis		hereditary disease		
MONDO:0013262	dilated cardiomyopathy 1S	Abnormality of the respiratory system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Constitutional symptom; Abnormality of the cardiovascular system	digestive_system; respiratory; blood; musculature; prenatal_or_birth	musculoskeletal system disorder; syndromic disease; cardiovascular disorder	disorder of development or morphogenesis		hereditary disease		
MONDO:0014100	dilated cardiomyopathy 1KK	Abnormality of the cardiovascular system	musculature	musculoskeletal system disorder; cardiovascular disorder			hereditary disease		
MONDO:0012744	dilated cardiomyopathy 1Y	Abnormality of the cardiovascular system	musculature	musculoskeletal system disorder; syndromic disease; cardiovascular disorder	disorder of development or morphogenesis		hereditary disease		
MONDO:0007800	chromosome 18p deletion syndrome	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the musculoskeletal system; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; musculature; skeletal_system; nervous_system; digestive_system; integument; ear; eye; genitourinary_system; growth; immune_system; breast; metabolism_homeostasis; endocrine	syndromic disease			chromosomal disorder		
MONDO:0014904	congenital disorder of glycosylation, type IAA	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the voice; Abnormality of the musculoskeletal system; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; head_neck; musculature; eye; skeletal_system; growth; integument; digestive_system; ear		metabolic disease		hereditary disease		
MONDO:0957540	congenital disorder of glycosylation, type IIaa	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the cardiovascular system	digestive_system; endocrine; metabolism_homeostasis; blood; musculature; skeletal_system; genitourinary_system; nervous_system; connective_tissue; prenatal_or_birth		metabolic disease		hereditary disease		
MONDO:0054559	congenital disorder of glycosylation, type IIq	Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of head or neck	nervous_system; metabolism_homeostasis; blood; musculature; endocrine; head_neck; skeletal_system; digestive_system; growth		metabolic disease		hereditary disease		
MONDO:0859356	congenital disorder of glycosylation, type IIy	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of head or neck	nervous_system; musculature; skeletal_system; head_neck; metabolism_homeostasis; digestive_system		metabolic disease		hereditary disease		
MONDO:0859357	congenital disorder of glycosylation, type IIz	Abnormality of the nervous system; Abnormality of metabolism/homeostasis; Abnormality of the musculoskeletal system; Abnormality of the digestive system	nervous_system; musculature; skeletal_system; metabolism_homeostasis; digestive_system; connective_tissue		metabolic disease		hereditary disease		
MONDO:0008907	PMM2-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the immune system; Abnormality of the integument; Abnormality of the respiratory system; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of blood and blood-forming tissues; Abnormality of the ear; Abnormality of the cardiovascular system; Abnormality of the eye; Growth abnormality; Abnormality of the musculoskeletal system; Abnormality of the genitourinary system	head_neck; nervous_system; musculature; digestive_system; metabolism_homeostasis; blood; skeletal_system; genitourinary_system; endocrine; eye; immune_system; connective_tissue; integument; ear; growth; respiratory; prenatal_or_birth; breast		metabolic disease		hereditary disease		
MONDO:0011257	MPI-congenital disorder of glycosylation	Growth abnormality; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the cardiovascular system; Abnormality of the immune system	digestive_system; blood; endocrine; metabolism_homeostasis; nervous_system; genitourinary_system; musculature; growth; immune_system	syndromic disease; cardiovascular disorder; immune system disorder	metabolic disease		hereditary disease		
MONDO:0011291	ALG6-congenital disorder of glycosylation 1C	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the eye	nervous_system; blood; musculature; head_neck; metabolism_homeostasis; digestive_system; skeletal_system; eye; endocrine; integument; ear; growth		metabolic disease		hereditary disease		
MONDO:0026729	congenital disorder of glycosylation, type ICC	Abnormality of the nervous system; Abnormality of metabolism/homeostasis; Abnormality of the digestive system	nervous_system; metabolism_homeostasis; digestive_system; endocrine		metabolic disease		hereditary disease		
MONDO:0010998	ALG3-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; musculature; nervous_system; skeletal_system; digestive_system; eye; connective_tissue; integument; metabolism_homeostasis; ear; endocrine; respiratory; genitourinary_system; blood; immune_system; growth; breast		metabolic disease		hereditary disease		
MONDO:0012123	congenital disorder of glycosylation type 1E	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; nervous_system; musculature; skeletal_system; digestive_system; eye; blood; endocrine; metabolism_homeostasis; connective_tissue; integument; growth; immune_system; genitourinary_system; neoplasm; respiratory; breast		metabolic disease		hereditary disease		
MONDO:0012211	MPDU1-congenital disorder of glycosylation	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; musculature; integument; skeletal_system; digestive_system; eye; metabolism_homeostasis; blood; genitourinary_system; immune_system; endocrine; respiratory; ear; connective_tissue; growth		metabolic disease		hereditary disease		
MONDO:0011783	ALG12-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the immune system; Abnormality of the integument; Abnormality of the respiratory system; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of the nervous system; Abnormality of the digestive system; Abnormality of blood and blood-forming tissues; Abnormality of the ear; Abnormality of the cardiovascular system; Abnormality of the eye; Growth abnormality; Abnormality of the musculoskeletal system; Abnormality of the genitourinary system	head_neck; musculature; blood; nervous_system; skeletal_system; metabolism_homeostasis; digestive_system; immune_system; genitourinary_system; growth; respiratory; integument; eye; ear; prenatal_or_birth; endocrine; connective_tissue; breast		metabolic disease		hereditary disease		
MONDO:0011969	ALG8-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	digestive_system; head_neck; blood; nervous_system; metabolism_homeostasis; musculature; eye; endocrine; growth; skeletal_system; prenatal_or_birth; integument; connective_tissue; ear; genitourinary_system; breast		metabolic disease		hereditary disease		
MONDO:0008908	MGAT2-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Neoplasm; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; musculature; skeletal_system; nervous_system; digestive_system; blood; ear; integument; metabolism_homeostasis; immune_system; growth; breast; respiratory; eye; neoplasm; endocrine; prenatal_or_birth	cardiovascular disorder	metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0957820	congenital disorder of glycosylation, type IIbb	Abnormality of the nervous system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the eye	nervous_system; head_neck; musculature; eye; skeletal_system; digestive_system; ear; metabolism_homeostasis; connective_tissue		metabolic disease		hereditary disease		
MONDO:0011772	B4GALT1-congenital disorder of glycosylation	Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	blood; head_neck; metabolism_homeostasis; musculature; digestive_system; nervous_system; endocrine; skeletal_system; eye; integument; immune_system; ear; prenatal_or_birth; growth; breast	nervous system disorder	metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0012118	COG7-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system	head_neck; digestive_system; musculature; nervous_system; skeletal_system; metabolism_homeostasis; endocrine; growth; integument; blood; immune_system; genitourinary_system; respiratory; ear; breast		metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0011342	SLC35A1-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	blood; nervous_system; head_neck; musculature; respiratory; digestive_system; immune_system; skeletal_system; integument; eye; metabolism_homeostasis; genitourinary_system; connective_tissue		metabolic disease		hereditary disease		
MONDO:0012637	COG1-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Neoplasm; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; musculature; skeletal_system; nervous_system; digestive_system; growth; ear; eye; genitourinary_system; blood; metabolism_homeostasis; immune_system; integument; neoplasm; endocrine; respiratory; connective_tissue; breast	syndromic disease; cardiovascular disorder	metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0012635	COG8-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; musculature; head_neck; skeletal_system; digestive_system; metabolism_homeostasis; eye; blood; endocrine; growth; connective_tissue; integument; prenatal_or_birth; immune_system; ear		metabolic disease		hereditary disease		
MONDO:0013325	COG5-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; musculature; skeletal_system; digestive_system; genitourinary_system; ear; metabolism_homeostasis; endocrine; growth; integument; eye; connective_tissue; blood; immune_system; prenatal_or_birth	syndromic disease	metabolic disease		hereditary disease		
MONDO:0013281	COG4-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; digestive_system; metabolism_homeostasis; endocrine; head_neck; immune_system; musculature; blood; growth; skeletal_system; integument; eye; respiratory		metabolic disease		hereditary disease		
MONDO:0013810	COG6-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; digestive_system; metabolism_homeostasis; blood; immune_system; musculature; skeletal_system; head_neck; integument; endocrine; genitourinary_system; growth; eye; connective_tissue		metabolic disease		hereditary disease		
MONDO:0010478	SLC35A2-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; musculature; skeletal_system; digestive_system; eye; metabolism_homeostasis; integument; genitourinary_system; growth; blood; endocrine; connective_tissue; immune_system; prenatal_or_birth; respiratory; ear; breast		metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0014746	SLC39A8-CDG	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the immune system; Abnormality of the eye	nervous_system; head_neck; musculature; skeletal_system; eye; metabolism_homeostasis; growth; blood; ear; digestive_system; immune_system; connective_tissue; endocrine; respiratory	nervous system disorder	metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0014789	CCDC115-CDG	Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	digestive_system; metabolism_homeostasis; endocrine; blood; head_neck; nervous_system; immune_system; musculature; integument; eye		metabolic disease		hereditary disease		
MONDO:0014790	TMEM199-CDG	Abnormality of the nervous system; Abnormality of metabolism/homeostasis; Abnormality of the musculoskeletal system; Abnormality of the digestive system	metabolism_homeostasis; digestive_system; endocrine; blood; nervous_system; musculature		metabolic disease		hereditary disease		
MONDO:0026765	congenital disorder of glycosylation, type IIr	Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the immune system	digestive_system; endocrine; metabolism_homeostasis; immune_system; head_neck; integument; blood; skeletal_system; genitourinary_system; musculature; ear		metabolic disease		hereditary disease		
MONDO:0030043	congenital disorder of glycosylation, type iit	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the eye	head_neck; nervous_system; musculature; skeletal_system; metabolism_homeostasis; digestive_system; eye; blood; ear; genitourinary_system; endocrine; growth		metabolic disease		hereditary disease		
MONDO:0030423	congenital disorder of glycosylation, type 2v	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the eye	head_neck; digestive_system; eye; musculature; skeletal_system; nervous_system; integument; ear; metabolism_homeostasis; genitourinary_system; connective_tissue		metabolic disease		hereditary disease		
MONDO:0030437	congenital disorder of glycosylation, type IIw	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	digestive_system; blood; head_neck; metabolism_homeostasis; skeletal_system; endocrine; musculature; genitourinary_system; immune_system; eye; ear; connective_tissue; nervous_system; integument; growth		metabolic disease		hereditary disease		
MONDO:0011964	DPAGT1-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	nervous_system; musculature; head_neck; eye; skeletal_system; digestive_system; integument; blood; metabolism_homeostasis; endocrine; connective_tissue; respiratory; prenatal_or_birth; growth; breast; genitourinary_system; ear		metabolic disease		hereditary disease		
MONDO:0012052	ALG1-congenital disorder of glycosylation	Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; musculature; skeletal_system; head_neck; digestive_system; eye; genitourinary_system; immune_system; metabolism_homeostasis; blood; endocrine; connective_tissue; prenatal_or_birth; growth; respiratory		metabolic disease		hereditary disease		
MONDO:0012117	ALG9-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; musculature; skeletal_system; digestive_system; nervous_system; genitourinary_system; prenatal_or_birth; eye; connective_tissue; respiratory; ear; integument; metabolism_homeostasis; blood; endocrine; breast; immune_system; growth		metabolic disease		hereditary disease		
MONDO:0012556	DK1-congenital disorder of glycosylation	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormal cellular phenotype; Abnormality of metabolism/homeostasis; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; integument; musculature; head_neck; metabolism_homeostasis; growth; eye; digestive_system; skeletal_system; blood; immune_system; endocrine; respiratory	integumentary system disorder; musculoskeletal system disorder; syndromic disease; cardiovascular disorder	metabolic disease		hereditary disease		
MONDO:0012783	RFT1-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	nervous_system; musculature; head_neck; skeletal_system; digestive_system; blood; growth; eye; endocrine; respiratory; ear; breast; metabolism_homeostasis; immune_system; connective_tissue		metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0012885	SRD5A3-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the breast; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	head_neck; nervous_system; eye; integument; musculature; blood; skeletal_system; metabolism_homeostasis; digestive_system; endocrine; ear; immune_system; growth; breast		metabolic disease		hereditary disease		
MONDO:0013789	DDOST-congenital disorder of glycosylation	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the immune system; Abnormality of the eye	musculature; nervous_system; digestive_system; metabolism_homeostasis; skeletal_system; endocrine; growth; head_neck; eye; immune_system; integument; genitourinary_system; blood; connective_tissue		metabolic disease		hereditary disease		
MONDO:0013968	PGM1-congenital disorder of glycosylation	Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of the endocrine system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of the ear; Constitutional symptom; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the immune system; Abnormality of the eye	digestive_system; endocrine; metabolism_homeostasis; blood; head_neck; musculature; immune_system; growth; skeletal_system; nervous_system; respiratory; eye; genitourinary_system; ear	musculoskeletal system disorder; cardiovascular disorder	metabolic disease		hereditary disease		
MONDO:0014023	congenital muscular dystrophy with intellectual disability and severe epilepsy	Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the respiratory system; Abnormality of the musculoskeletal system; Abnormality of prenatal development or birth; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the immune system; Abnormality of the eye	head_neck; nervous_system; digestive_system; musculature; skeletal_system; eye; metabolism_homeostasis; respiratory; blood; endocrine; growth; connective_tissue; integument; genitourinary_system; immune_system; prenatal_or_birth	musculoskeletal system disorder; nervous system disorder	metabolic disease		hereditary disease		
MONDO:0014270	STT3A-congenital disorder of glycosylation	Abnormality of the nervous system; Growth abnormality; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the eye	nervous_system; musculature; head_neck; genitourinary_system; skeletal_system; metabolism_homeostasis; digestive_system; growth; eye		metabolic disease		hereditary disease		
MONDO:0014271	STT3B-congenital disorder of glycosylation	Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the eye	nervous_system; genitourinary_system; head_neck; musculature; growth; skeletal_system; eye; metabolism_homeostasis; digestive_system; blood; respiratory		metabolic disease		hereditary disease		
MONDO:0010490	SSR4-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the respiratory system; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of the genitourinary system; Abnormality of head or neck; Abnormality of the cardiovascular system; Abnormality of the eye	head_neck; musculature; nervous_system; digestive_system; skeletal_system; eye; blood; genitourinary_system; ear; growth; metabolism_homeostasis; respiratory		metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0018163	autosomal recessive cutis laxa type 2A	Abnormality of limbs; Abnormality of the nervous system; Growth abnormality; Abnormality of the integument; Abnormality of the digestive system; Abnormality of the musculoskeletal system; Abnormality of blood and blood-forming tissues; Abnormality of metabolism/homeostasis; Abnormality of the ear; Abnormality of head or neck; Abnormality of the eye	head_neck; musculature; skeletal_system; nervous_system; integument; digestive_system; growth; eye; connective_tissue; metabolism_homeostasis; ear; blood; genitourinary_system; respiratory; prenatal_or_birth; immune_system	integumentary system disorder; musculoskeletal system disorder	metabolic disease; disorder of development or morphogenesis		hereditary disease		
MONDO:0013049	DPM3-congenital disorder of glycosylation	Abnormality of limbs; Abnormality of the nervous system; Abnormality of the musculoskeletal system; Abnormality of metabolism/homeostasis; Constitutional symptom; Abnormality of the cardiovascular system	musculature; nervous_system; metabolism_homeostasis; blood; digestive_system; endocrine; skeletal_system	musculoskeletal system disorder; nervous system disorder	metabolic disease		hereditary disease		
